year,soc_name,soc,cip_name,cip,avg_wage,avg_wage_moe,num_ppl,num_ppl_moe,num_ppl_rca
2016,"Software developers, applications & systems software","15113X","Computer and Information Sciences and Support Services","11",108786.0,2029.69,369804,12072.7,9.41099
2016,"Computer programmers","151131","Computer and Information Sciences and Support Services","11",90741.5,3209.53,115362,6583.32,10.2481
2016,"Other Computer Occupations","151199","Computer and Information Sciences and Support Services","11",84420.2,3783.8,111140,6984.12,8.51929
2016,"Computer & information systems managers","113021","Computer and Information Sciences and Support Services","11",127323.0,4376.75,99199,6676.42,5.90896
2016,"Miscellaneous managers","119XXX","Computer and Information Sciences and Support Services","11",122074.0,4258.69,95441,5661.93,1.08109
2016,"Computer support specialists","151150","Computer and Information Sciences and Support Services","11",74449.9,3985.04,75707,5416.4,6.62179
2016,"Computer systems analysts","151121","Computer and Information Sciences and Support Services","11",91137.5,5015.81,66475,6597.34,4.79229
2016,"Network & computer systems administrators","151142","Computer and Information Sciences and Support Services","11",80892.8,3092.36,37113,3978.66,8.69992
2016,"Management analysts","131111","Computer and Information Sciences and Support Services","11",102752.0,6599.18,31133,2768.49,1.4711
2016,"Postsecondary teachers","251000","Computer and Information Sciences and Support Services","11",66504.7,8110.72,26386,3086.03,0.519787
2016,"Chief executives & legislators","1110XX","Computer and Information Sciences and Support Services","11",192053.0,16435.4,25498,3053.79,0.83154
2016,"Web developers","151134","Computer and Information Sciences and Support Services","11",76313.1,8151.29,22957,3098.02,5.37525
2016,"Database administrators","151141","Computer and Information Sciences and Support Services","11",99120.6,7500.48,19904,2625.91,6.49973
2016,"Accountants & auditors","132011","Computer and Information Sciences and Support Services","11",84142.6,12741.3,19685,2521.49,0.357154
2016,"Information security analysts","151122","Computer and Information Sciences and Support Services","11",105699.0,8667.49,19383,3122.22,9.22926
2016,"Elementary & middle school teachers","252020","Computer and Information Sciences and Support Services","11",49689.1,3389.36,19314,2959.24,0.151705
2016,"Miscellaneous engineers, including nuclear engineers","1721YY","Computer and Information Sciences and Support Services","11",106401.0,9259.22,19210,2792.97,1.23049
2016,"Firstline supervisors of retail sales workers","411011","Computer and Information Sciences and Support Services","11",87303.9,12493.5,18922,3246.05,0.693942
2016,"Computer network architects","151143","Computer and Information Sciences and Support Services","11",109686.0,7754.88,18253,2901.94,8.20886
2016,"Customer service representatives","434051","Computer and Information Sciences and Support Services","11",50278.2,6385.22,17691,2816.03,0.775086
2016,"Firstline supervisors of office & administrative support workers","431011","Computer and Information Sciences and Support Services","11",81246.4,9222.25,16185,2113.55,0.90681
2016,"Financial managers","113031","Computer and Information Sciences and Support Services","11",111362.0,11432.8,15862,2617.77,0.5903
2016,"Retail salespersons","412031","Computer and Information Sciences and Support Services","11",42525.9,7826.23,14298,2691.23,0.559441
2016,"Firstline supervisors of nonretail sales workers","411012","Computer and Information Sciences and Support Services","11",126935.0,17370.8,13958,2558.31,0.745185
2016,"Marketing & sales managers","112020","Computer and Information Sciences and Support Services","11",119768.0,14726.1,12697,1996.25,0.525895
2016,"Secretaries & administrative assistants","436010","Computer and Information Sciences and Support Services","11",38431.7,6898.2,12396,2930.92,0.448051
2016,"Computer, automated teller, & office machine repairers","492011","Computer and Information Sciences and Support Services","11",49362.9,5500.06,12073,2250.81,7.3099
2016,"Sales representatives, services, all other","413099","Computer and Information Sciences and Support Services","11",148069.0,28610.9,11817,2362.72,0.980637
2016,"Computer hardware engineers","172061","Computer and Information Sciences and Support Services","11",100026.0,11666.1,10898,2179.48,7.17117
2016,"Designers","271020","Computer and Information Sciences and Support Services","11",80439.2,12077.5,9508,1676.21,0.551394
2016,"Lawyers, & judges, magistrates, & other judicial workers","2310XX","Computer and Information Sciences and Support Services","11",176844.0,28524.6,8823,1850.74,0.246205
2016,"General & operations managers","111021","Computer and Information Sciences and Support Services","11",98454.3,19275.5,8498,1763.57,0.569776
2016,"Education administrators","119030","Computer and Information Sciences and Support Services","11",73260.3,6499.33,8173,1603.84,0.305765
2016,"Registered nurses","291141","Computer and Information Sciences and Support Services","11",79703.1,26242.9,8168,2105.97,0.113446
2016,"Sales representatives, wholesale & manufacturing","414010","Computer and Information Sciences and Support Services","11",121532.0,21394.5,8094,1540.8,0.343231
2016,"Architectural & engineering managers","119041","Computer and Information Sciences and Support Services","11",195916.0,22494.4,7294,1599.84,1.51836
2016,"Operations research analysts","152031","Computer and Information Sciences and Support Services","11",87693.8,11802.8,6925,1569.64,1.81431
2016,"Business operations specialists, all other","131199","Computer and Information Sciences and Support Services","11",83163.8,11583.8,6641,1851.66,1.00326
2016,"Stock clerks & order fillers","435081","Computer and Information Sciences and Support Services","11",26027.1,5018.81,6564,1540.77,1.17498
2016,"Other Physical Scientists","192099","Computer and Information Sciences and Support Services","11",136331.0,37532.7,6045,1443.02,0.679726
2016,"Electrical & electronics engineers","172070","Computer and Information Sciences and Support Services","11",100399.0,13591.9,5974,1558.02,1.00002
2016,"Driver/sales workers & truck drivers","533030","Computer and Information Sciences and Support Services","11",41700.4,5964.23,5856,1476.37,0.749705
2016,"Human resources workers","131070","Computer and Information Sciences and Support Services","11",86557.5,13479.3,5836,1261.66,0.322338
2016,"Computer operators","439011","Computer and Information Sciences and Support Services","11",61520.0,7859.84,5720,1752.54,5.45566
2016,"Secondary school teachers","252030","Computer and Information Sciences and Support Services","11",51962.6,8110.92,5497,1485.68,0.200472
2016,"Miscellaneous office & administrative support workers, including desktop publishers","439XXX","Computer and Information Sciences and Support Services","11",43990.9,5667.06,5256,1402.5,0.633238
